ID_Venta,Fecha,ID_Cliente,ID_Producto,Canal,Estado,Unidades,Precio_Unitario,Descuento,Costo_Unitario,Costo_Envio
V02629,2025-03-25,C046,P001,E-commerce,Confirmada,7,1267.17,0.1,819.32,38.6
V00189,2025-03-25,C045,P006,E-commerce,Confirmada,7,69.72,0.15,38.6,33.28
V04446,2024-10-27,C013,P007,Tienda fisica,Confirmada,3,119.57,0.0,63.5,0.72
V02212,2025-11-23,C015,P007,E-commerce,Confirmada,2,124.85,0.08,68.68,29.51
V03914,2024-05-12,C053,P009,E-commerce,Confirmada,1,131.09,0.0,74.99,28.18
V04727,2025-04-10,C016,P010,E-commerce,Confirmada,13,37.77,0.0,19.72,26.58
V02922,2024-12-23,C010,P004,Tienda fisica,Confirmada,10,28.19,0.0,13.7,3.57
V01151,2024-06-18,C040,P010,Tienda fisica,Confirmada,1,34.96,0.0,17.83,3.37
V01364,2025-10-07,C056,P010,E-commerce,Confirmada,2,36.71,0.0,19.02,18.31
V02007,2024-06-01,C011,P007,E-commerce,Confirmada,1,120.87,0.0,62.8,16.9
V03566,2025-08-31,C025,P007,Tienda fisica,Confirmada,3,130.89,0.0,69.14,0.12
V02108,2024-10-31,C045,P007,E-commerce,Confirmada,  1 ,  118.05 ,0.0,62.45,  16.25 
V03477,2025-01-11,C012,P004,E-commerce,Confirmada,2,29.5,0.15,14.69,15.78
V02459,2024-05-09,C050,P009,Tienda fisica,Confirmada,1,131.11,0.0,76.78,1.12
V00397,2025-02-09,C002,P010,Tienda fisica,Confirmada,3,36.85,0.0,19.29,1.06
V00764,2024-06-29,C056,P003,Tienda fisica,Confirmada,7,1675.22,0.05,1138.17,2.13
V02534,2025-04-10,C002,P010,Tienda fisica,Confirmada,1,36.86,0.0,19.42,0.04
V02444,2025-04-02,C021,P007,E-commerce,Confirmada,1,128.99,0.1,68.36,22.58
V04165,2025-11-17,C045,P010,Tienda fisica,Confirmada,2,36.47,0.0,19.27,1.46
V03560,2024-08-04,C055,P002,Tienda fisica,Confirmada,6,449.58,0.0,275.96,0.6
V03110,2024-08-04,C036,P006,E-commerce,Confirmada,3,63.95,0.1,35.27,22.3
V00268,2024-11-12,C023,P005,Tienda fisica,Confirmada,13,96.61,0.0,48.82,3.46
V01141,2025-12-31,C021,P005,Tienda fisica,Confirmada,1,102.37,0.0,52.48,3.38
V01907,2025-05-05,C005,P003,Tienda fisica,Confirmada,2,1763.8,0.0,1217.4,2.87
V01258,2024-07-26,C006,P007,E-commerce,Confirmada,1,118.57,0.05,64.81,19.84
V00564,2024-05-28,C020,P010,Tienda fisica,Confirmada,3,34.33,0.0,17.69,2.29
V00426,2025-10-10,C056,P002,Tienda fisica,Confirmada,7,482.69,0.0,295.73,2.93
V04761,2024-04-09,C006,P001,Tienda fisica,Confirmada,5,1180.96,0.0,743.59,2.18
V01615,2024-07-08,C010,P004,Tienda fisica,Confirmada,  6 ,  28.77 ,0.0,13.22,  2.79 
V02057,2025-08-17,C045,P005,E-commerce,Confirmada,6,101.26,0.1,52.81,21.83
V00605,2025-12-03,C006,P008,Tienda fisica,Confirmada,2,88.31,0.0,52.26,3.56
V01273,2025-02-03,C008,P004,E-commerce,Confirmada,10,29.66,0.05,14.73,37.18
V01405,2025-10-24,C035,P010,E-commerce,Confirmada,3,36.82,0.15,19.7,17.31
V02546,2024-05-13,C004,P008,E-commerce,Confirmada,1,83.45,0.0,48.68,21.2
V03726,2024-06-07,C045,P009,Tienda fisica,Confirmada,5,131.51,0.0,77.38,2.92
V04439,2025-05-15,C012,P006,E-commerce,Confirmada,8,69.05,0.0,38.89,34.85
V04991,2024-09-25,C010,P005,Tienda fisica,Confirmada,8,96.49,0.0,47.8,1.39
V01294,2025-12-13,C056,P007,Tienda fisica,Confirmada,5,129.78,0.0,68.76,0.77
V04116,2025-05-07,C034,P004,E-commerce,Confirmada,9,29.33,0.05,14.74,27.3
V04433,2024-08-20,C048,P004,Tienda fisica,Confirmada,5,28.15,0.05,13.58,1.46
V01877,2024-03-07,C055,P008,Tienda fisica,Confirmada,2,84.85,0.1,47.79,2.06
V04569,2025-07-18,C022,P009,E-commerce,Confirmada,4,138.02,0.1,82.62,28.95
V04847,2024-09-28,C030,P010,Tienda fisica,Confirmada,1,35.9,0.0,17.84,0.02
V00206,2025-11-12,C044,P005,E-commerce,Confirmada,11,101.64,0.15,51.94,46.03
V01360,2024-03-16,C013,P010,Tienda fisica,Confirmada,2,35.35,0.0,17.74,0.26
V01175,2025-08-15,C010,P007,E-commerce,Confirmada,  5 ,  125.36 ,0.0,69.9,  30.43 
V01028,2025-08-28,C027,P010,Tienda fisica,Confirmada,9,37.82,0.0,19.26,3.39
V00330,2025-03-10,C025,P004,Tienda fisica,Confirmada,3,29.44,0.0,14.44,1.29
V03179,2025-03-12,C029,P004,Tienda fisica,Confirmada,8,30.16,0.0,14.41,0.49
V00799,2024-08-08,C010,P009,E-commerce,Confirmada,4,131.77,0.05,77.06,29.78
V01810,2025-12-22,C020,P010,Tienda fisica,Confirmada,5,37.02,0.0,19.54,1.98
V00681,2025-07-31,C026,P007,E-commerce,Confirmada,4,127.95,0.1,68.39,30.59
V03046,2025-04-04,C015,P004,Tienda fisica,Confirmada,27,30.08,0.0,14.77,0.11
V04875,2025-10-16,C051,P001,E-commerce,Confirmada,15,1259.7,0.0,796.23,60.73
V02559,2024-06-27,C020,P008,Tienda fisica,Confirmada,5,86.17,0.0,48.75,3.51
V02247,2024-06-10,C006,P010,Tienda fisica,Confirmada,1,35.56,0.05,17.62,0.0
V02490,2025-11-16,C060,P005,E-commerce,Confirmada,5,101.92,0.0,52.48,26.34
V00897,2025-12-27,C010,P005,E-commerce,Confirmada,12,102.88,0.1,51.02,54.52
V01488,2025-05-12,C046,P009,Tienda fisica,Confirmada,1,137.15,0.0,81.56,1.5
V01779,2025-10-14,C025,P007,Tienda fisica,Confirmada,12,129.89,0.0,68.76,3.25
V03225,2025-01-21,C010,P009,E-commerce,Confirmada,3,138.12,0.1,83.12,23.25
V04154,2024-11-19,C022,P004,Tienda fisica,Confirmada,6,28.03,0.0,13.23,3.23
V00660,2024-07-31,C006,P002,Tienda fisica,Confirmada,  4 ,  457.39 ,0.05,268.2,  1.88 
V05244,2025-09-08,C009,P008,E-commerce,Anulada,6,90.58,0.0,52.26,34.48
V03051,2024-02-28,C060,P008,Tienda fisica,Confirmada,1,86.14,0.0,47.53,3.09
V03158,2024-09-01,C051,P007,Tienda fisica,Confirmada,2,120.77,0.0,62.54,2.05
V05006,2024-10-26,C001,P006,E-commerce,Confirmada,7,66.12,0.15,35.8,21.76
V01233,2025-12-19,C004,P004,Tienda fisica,Confirmada,7,30.22,0.0,14.52,3.81
V00543,2024-09-29,C047,P010,E-commerce,Confirmada,2,36.0,0.08,18.18,27.74
V03389,2025-11-11,C050,P007,Tienda fisica,Confirmada,3,127.9,0.0,68.47,0.63
V00490,2024-04-07,C032,P004,Tienda fisica,Confirmada,9,28.35,0.0,13.69,0.48
V02842,2024-03-29,C018,P004,E-commerce,Confirmada,5,27.6,0.0,13.6,29.96
V03480,2024-06-12,C046,P005,Tienda fisica,Confirmada,5,96.53,0.0,48.11,3.31
V00925,2025-01-26,C033,P006,E-commerce,Confirmada,5,67.72,0.05,37.72,27.86
V03982,2025-08-02,C034,P009,Tienda fisica,Confirmada,5,139.94,0.0,83.86,0.75
V02394,2024-09-08,C037,P006,Tienda fisica,Confirmada,8,64.1,0.05,35.19,1.2
V03783,2025-05-24,C045,P008,E-commerce,Confirmada,1,90.64,0.0,52.48,27.2
V04716,2024-11-11,C040,P008,Tienda fisica,Confirmada,1,87.28,0.05,47.8,0.56
V01938,2025-01-12,C030,P005,E-commerce,Confirmada,6,101.59,0.0,51.83,25.62
V05101,2024-05-18,C035,P010,E-commerce,Confirmada,  1 ,  35.25 ,0.1,17.79,  11.52 
V00959,2025-11-12,C017,P002,E-commerce,Confirmada,5,472.33,0.1,297.76,30.9
V04907,2024-04-05,C035,P005,Tienda fisica,Confirmada,7,96.2,0.0,48.81,2.17
V05240,2024-01-06,C037,P010,E-commerce,Anulada,6,35.95,0.1,17.56,23.0
V02142,2024-01-10,C040,P007,Tienda fisica,Confirmada,2,122.32,0.0,63.45,3.79
V01966,2025-12-11,C028,P010,E-commerce,Confirmada,4,37.8,0.0,19.73,24.58
V00586,2024-01-15,C006,P005,E-commerce,Confirmada,6,95.17,0.0,48.76,39.64
V01127,2025-08-15,C028,P006,E-commerce,Confirmada,3,70.74,0.0,38.63,22.67
V04543,2024-12-09,C040,P001,Tienda fisica,Confirmada,1,1224.98,0.0,755.47,3.12
V00326,2025-11-07,C046,P002,Tienda fisica,Confirmada,2,481.91,0.0,293.19,1.9
V02491,2025-06-30,C048,P010,Tienda fisica,Confirmada,3,37.45,0.0,19.16,2.39
V02436,2025-09-20,C039,P009,E-commerce,Confirmada,1,136.86,0.15,81.97,16.05
V05046,2024-03-21,C051,P002,Tienda fisica,Confirmada,1,448.3,0.0,268.16,1.71
V04084,2025-09-19,C045,P003,E-commerce,Confirmada,1,1764.79,0.08,1225.39,23.63
V05218,2025-01-15,C002,P004,E-commerce,Anulada,7,30.52,0.15,14.47,33.02
V00639,2024-02-20,C033,P006,Tienda fisica,Confirmada,9,64.51,0.0,35.07,3.8
V04301,2025-12-24,C046,P002,E-commerce,Confirmada,1,478.0,0.0,298.94,24.54
V04876,2025-12-03,C053,P007,E-commerce,Confirmada,  1 ,  127.91 ,0.0,69.56,  23.98 
V00403,2024-09-02,C035,P008,Tienda fisica,Confirmada,5,84.49,0.0,48.08,2.76
V05123,2024-11-27,C050,P006,E-commerce,Confirmada,1,66.23,0.05,34.74,26.77
V02709,2025-09-27,C039,P010,E-commerce,Confirmada,3,37.31,0.08,19.65,28.39
V03856,2024-12-13,C060,P001,Tienda fisica,Confirmada,1,1226.49,0.0,737.16,3.77
V00471,2024-04-17,C023,P008,E-commerce,Confirmada,1,85.7,0.0,47.64,14.17
V03137,2024-12-13,C034,P006,E-commerce,Confirmada,7,65.99,0.15,34.92,27.92
V02076,2024-05-31,C035,P001,E-commerce,Confirmada,5,1195.87,0.0,729.9,24.18
V05182,2025-04-03,C014,P005,Tienda fisica,Confirmada,4,99.34,0.0,51.26,1.78
V03929,2025-12-25,C030,P007,Tienda fisica,Confirmada,15,128.22,0.0,69.88,3.0
V04306,2024-09-13,C002,P007,Tienda fisica,Confirmada,1,121.98,0.1,64.16,0.57
V01440,2024-07-24,C001,P004,E-commerce,Confirmada,4,27.98,0.0,13.4,25.25
V00924,2025-10-18,C060,P005,E-commerce,Confirmada,7,99.96,0.0,51.31,25.38
V00135,2025-02-10,C018,P010,E-commerce,Confirmada,9,36.87,0.0,19.56,51.72
V03088,2024-05-18,C025,P007,E-commerce,Confirmada,3,119.73,0.0,63.76,29.84
V01068,2025-08-14,C031,P001,Tienda fisica,Confirmada,2,1298.99,0.0,821.75,3.38
V04042,2024-05-03,C025,P009,Tienda fisica,Confirmada,2,131.28,0.0,74.63,2.96
V02853,2024-06-21,C035,P004,E-commerce,Confirmada,  11 ,  28.31 ,0.15,13.48,  49.38 
V03772,2025-07-01,C010,P004,Tienda fisica,Confirmada,6,29.21,0.0,14.37,1.35
V03891,2025-11-12,C026,P002,E-commerce,Confirmada,8,475.98,0.05,292.77,22.36
V03484,2024-07-19,C026,P005,Tienda fisica,Confirmada,7,94.14,0.0,48.33,1.22
V03701,2025-10-15,C026,P002,E-commerce,Confirmada,9,488.33,0.0,300.07,34.19
V04934,2025-12-21,C056,P004,E-commerce,Confirmada,9,29.61,0.0,14.7,36.38
V03729,2025-06-22,C025,P008,Tienda fisica,Confirmada,2,88.97,0.0,53.06,0.39
V03174,2024-05-23,C016,P009,Tienda fisica,Confirmada,3,133.23,0.0,76.38,0.82
V00203,2025-11-18,C007,P004,E-commerce,Confirmada,9,30.32,0.0,14.66,31.32
V01756,2024-07-18,C020,P007,Tienda fisica,Confirmada,2,122.43,0.0,63.98,2.29
V03489,2024-03-06,C031,P004,E-commerce,Confirmada,3,27.86,0.1,13.18,23.48
V00178,2025-10-15,C015,P003,Tienda fisica,Confirmada,1,1796.75,0.05,1217.03,0.42
V01658,2025-12-17,C007,P010,E-commerce,Confirmada,4,36.85,0.0,19.04,25.35
V05110,2024-09-19,C005,P004,Tienda fisica,Confirmada,11,28.82,0.05,13.28,3.64
V01035,2024-03-11,C036,P009,Tienda fisica,Confirmada,1,128.22,0.0,77.15,0.76
V00051,2024-08-24,C012,P001,Tienda fisica,Confirmada,2,1195.51,0.0,741.22,2.65
V01595,2024-08-11,C060,P004,Tienda fisica,Confirmada,9,28.24,0.1,13.23,1.02
V03589,2024-01-05,C055,P009,E-commerce,Confirmada,  4 ,  129.47 ,0.0,75.88,  26.58 
V01001,2024-10-06,C031,P010,E-commerce,Confirmada,2,34.81,0.15,17.8,15.54
V04166,2024-05-30,C030,P005,Tienda fisica,Confirmada,6,95.92,0.0,47.6,1.14
V00737,2024-11-09,C052,P007,E-commerce,Confirmada,1,119.57,0.15,64.85,13.59
V04466,2024-06-06,C027,P006,Tienda fisica,Confirmada,4,65.09,0.1,35.24,1.84
V00177,2024-10-17,C031,P007,E-commerce,Confirmada,1,122.44,0.15,62.7,22.75
V00020,2025-08-02,C009,P005,E-commerce,Confirmada,9,101.35,0.05,52.64,44.24
V03884,2025-09-16,C022,P006,E-commerce,Confirmada,8,68.35,0.0,37.87,34.19
V00892,2024-06-27,C010,P010,E-commerce,Confirmada,8,35.07,0.0,17.81,19.08
V03975,2025-08-19,C059,P008,Tienda fisica,Confirmada,1,91.69,0.0,51.62,3.74
V02224,2024-04-27,C021,P004,Tienda fisica,Confirmada,5,27.49,0.0,13.66,2.23
V03587,2024-07-11,C002,P004,E-commerce,Confirmada,4,28.77,0.1,13.53,16.34
V03621,2024-02-29,C030,P008,Tienda fisica,Confirmada,3,86.25,0.0,48.98,2.1
V00417,2025-01-19,C003,P003,Tienda fisica,Confirmada,3,1772.86,0.0,1226.93,3.61
V01522,2025-04-11,C026,P005,Tienda fisica,Confirmada,2,98.78,0.0,52.82,0.52
V02385,2024-04-19,C050,P010,E-commerce,Confirmada,1,34.56,0.0,18.16,18.77
V03694,2025-03-28,C033,P003,Tienda fisica,Confirmada,4,1731.25,0.1,1238.81,3.65
V01800,2025-09-11,C054,P003,E-commerce,Confirmada,  11 ,  1781.72 ,0.0,1235.57,  50.65 
V05082,2025-08-10,C007,P005,Tienda fisica,Confirmada,8,100.92,0.05,52.36,3.42
V02314,2024-05-02,C006,P004,E-commerce,Confirmada,5,28.33,0.0,13.3,21.04
V02865,2024-05-15,C053,P009,Tienda fisica,Confirmada,1,128.82,0.0,76.17,2.37
V00257,2025-01-08,C056,P004,Tienda fisica,Confirmada,4,29.36,0.0,14.81,1.4
V02902,2025-03-03,C049,P010,E-commerce,Confirmada,3,36.39,0.05,19.63,22.57
V00234,2025-07-30,C013,P006,Tienda fisica,Confirmada,4,70.55,0.0,38.64,0.32
V00028,2025-01-12,C017,P004,E-commerce,Confirmada,5,30.17,0.0,14.73,24.49
V04646,2024-01-04,C010,P006,Tienda fisica,Confirmada,5,63.73,0.0,35.46,1.81
V01198,2025-08-25,C055,P001,Tienda fisica,Confirmada,1,1279.57,0.0,792.34,0.34
V05210,2024-10-30,C020,P009,E-commerce,Anulada,1,131.29,0.1,74.94,14.13
V00656,2025-12-03,C047,P001,Tienda fisica,Confirmada,4,1255.29,0.0,822.4,2.95
V05080,2024-02-03,C030,P004,Tienda fisica,Confirmada,6,28.32,0.0,13.66,0.08
V03753,2024-04-12,C036,P010,Tienda fisica,Confirmada,2,35.39,0.1,17.81,0.96
V03276,2025-04-02,C036,P007,Tienda fisica,Confirmada,1,124.95,0.0,69.35,2.56
V01457,2025-06-08,C024,P006,Tienda fisica,Confirmada,6,69.73,0.0,38.21,3.98
V00651,2024-01-01,C015,P009,Tienda fisica,Confirmada,5,133.79,0.0,77.02,2.43
V02639,2024-11-16,C023,P007,Tienda fisica,Confirmada,  2 ,  120.46 ,0.0,64.43,  2.19 
V00262,2025-03-19,C035,P008,E-commerce,Confirmada,1,89.35,0.1,52.32,22.88
V01334,2024-10-22,C036,P001,Tienda fisica,Confirmada,2,1188.89,0.0,730.08,3.1
V03925,2025-11-03,C021,P006,E-commerce,Confirmada,8,69.07,0.0,38.8,20.91
V01232,2024-11-29,C014,P001,E-commerce,Confirmada,4,1198.67,0.15,737.75,18.46
V04512,2024-01-09,C052,P004,Tienda fisica,Confirmada,10,28.01,0.0,13.45,0.31
V02095,2025-01-21,C036,P004,E-commerce,Confirmada,5,29.71,0.0,14.46,34.29
V04237,2025-04-02,C041,P009,E-commerce,Confirmada,2,139.53,0.0,83.55,26.93
V04327,2025-02-01,C011,P009,Tienda fisica,Confirmada,1,136.89,0.0,82.27,1.84
V01117,2024-08-23,C039,P008,E-commerce,Confirmada,1,85.4,0.0,47.59,25.1
V00874,2024-05-07,C036,P004,Tienda fisica,Confirmada,8,27.99,0.05,13.43,1.25
V01218,2025-04-21,C045,P004,E-commerce,Confirmada,5,29.52,0.05,14.78,27.84
