ID_Venta;Fecha;ID_Cliente;ID_Producto;Unidades;Precio_Unitario;Descuento;Costo_Unitario;Canal;Estado
V00138;28/06/2023;C0013;P0008;;171765.41;0;87430.92;SUCURSAL;Confirmada
V00987;23/02/2023;C0037;P0009;;38886.77;0;24765.50;Mayorista;Confirmada
V01100;16/05/2024;C0036;P0034;17;127498.44;0;73820.76;Online;Confirmada
V00516;18/07/2025;C0056;P0033;5;153289.24;0;87592.08;Mayorista;Confirmada
V00555;25/11/2025;C0005;P0001;26;140736.75;0;88805.39;online;Confirmada
V01016;14/08/2023;C0048;P0018;8;n/d;0;27465.62;Mayorista;Confirmada
V00090;26/04/2024;C0038;P0023;25;66124.78;0;40158.54;Sucursal;Confirmada
V01120;20/01/2023;C0038;P0021;17;48565.71;0.15;30386.28;Mayorista;Confirmada
V00489;01/06/2024;C0054;P0034;13;139419.63;0.05;73820.76;Online;Confirmada
V00892;19/05/2024;C0004;P0015;21;94063.36;0;52751.77;SUCURSAL;Confirmada
V00122;03/05/2023;C0040;P0029;1;60178.46;0;35426.88;Sucursal;Confirmada
V00799;25/08/2023;C0026;P0018;12;37634.27;0;27465.62;SUCURSAL;Confirmada
V00784;03/07/2024;C0007;P0035;36;103000.83;0.05;69092.63;Sucursal;Confirmada
V01140;17/04/2023;C0024;P0033;8;169302.10;0.15;87592.08;Sucursal;Confirmada
V00038;16/07/2024;C0029;P0031;3;152434.39;0.15;85075.28;Online;Confirmada
V01162;05/05/2023;C0032;P0018;6;38527.80;0;27465.62;SUCURSAL;Confirmada
V00320;01/12/2025;C0017;P0012;19;90204.23;0.05;62788.01;Sucursal;Confirmada
V00471;05/01/2023;C0012;P0027;18;115860.27;0;61799.54;Mayorista;Confirmada
V00648;14/06/2023;C0009;P0027;7;126676.28;0.1;61799.54;Mayorista;Confirmada
V00380;30/10/2025;C0060;P0030;1;155028.68;0;79943.46;Sucursal;Confirmada
V00359;23/11/2023;C0047;P0003;28;94484.51;0;59237.27;online;Confirmada
V00092;14/08/2023;C0060;P0012;10;98757.69;0.05;62788.01;SUCURSAL;Confirmada
V00315;27/10/2025;C0022;P0010;24;25248.92;0;15802.18;Sucursal;Confirmada
V00096;01/04/2024;C0048;P0038;13;48617.62;0.15;30948.72;online;Confirmada
V00076;20/02/2025;C0028;P0014;14;13872.43;0.05;7133.98;Sucursal;Confirmada
V00868;24/06/2023;C0055;P0027;13;127021.03;0;61799.54;Online;Confirmada
V00668;04/05/2025;C0001;P0016;19;6787.24;0.1;5355.27;online;Confirmada
V00197;13/04/2024;C0059;P0027;37;122738.93;0.1;61799.54;SUCURSAL;Confirmada
V00450;12/04/2025;C0057;P0032;23;60592.81;0.05;41511.75;Sucursal;Confirmada
V00743;16/02/2024;C0027;P0020;33;86791.83;0.1;45649.19;Online;Confirmada
V00341;23/08/2023;C0037;P0022;37;130928.82;0.1;77007.76;Sucursal;Confirmada
V00101;07/06/2023;C0022;P0003;16;98666.64;0.15;59237.27;Mayorista;Confirmada
V00986;15/10/2023;C0008;P0012;;95992.71;0;62788.01;Online;Confirmada
V01097;21/03/2023;C0035;P0022;23;126521.21;0.1;77007.76;Mayorista;Anulada
V00165;27/07/2023;C0009;P0007;31;29672.30;0.05;18589.68;online;Confirmada
V00862;11/03/2025;C0033;P0024;23;88904.79;0.1;54866.45;Sucursal;Confirmada
V00561;18/07/2023;C0052;P0011;17;73808.84;0.1;42100.64;Sucursal;Confirmada
V00126;12/07/2025;C0046;P0005;30;140903.00;0;76381.11;Online;Confirmada
V00794;13/10/2025;C0043;P0005;11;148501.31;0;76381.11;Sucursal;Confirmada
V00051;13/12/2025;C0038;P0034;35;135782.31;0;73820.76;online;Confirmada
V00823;22/03/2024;C0038;P0017;13;36285.09;0.1;21329.37;Online;Confirmada
V00832;16/03/2024;C0059;P0019;8;45598.31;0.05;24035.97;Mayorista;Confirmada
V01188;29/01/2025;C0020;P0015;7;n/d;0;52751.77;online;Confirmada
V01070;13/08/2023;C0044;P0018;40;35381.97;0;27465.62;SUCURSAL;Confirmada
V00522;27/08/2025;C0010;P0016;30;7021.06;0;5355.27;SUCURSAL;Confirmada
V00277;02/06/2024;C0036;P0006;19;141946.62;0.05;82826.49;Online;Confirmada
V00428;07/12/2024;C0022;P0005;2;151113.76;0;76381.11;SUCURSAL;Confirmada
V01166;10/07/2024;C0056;P0035;25;94450.67;0;69092.63;Sucursal;Confirmada
V01053;13/02/2025;C0017;P0035;6;104866.45;0;69092.63;online;Confirmada
V00007;20/12/2023;C0026;P0014;25;12692.94;0;7133.98;Sucursal;Confirmada
V01043;17/12/2023;C0057;P0031;19;141479.86;0;85075.28;Sucursal;Confirmada
V00485;22/09/2023;C0020;P0011;33;77015.42;0.05;42100.64;Sucursal;Confirmada
V00845;25/12/2024;C0006;P0028;28;135914.06;0;83697.81;Sucursal;Confirmada
V00444;09/10/2025;C0037;P0039;14;34462.23;0.1;20257.15;Online;Confirmada
V00072;17/05/2023;C0028;P0032;20;61599.45;0;41511.75;Sucursal;Confirmada
V00180;23/06/2023;C0055;P0029;2;58953.53;0;35426.88;Online;Confirmada
V00059;25/01/2024;C0057;P0031;16;145021.31;0.05;85075.28;Online;Confirmada
V01157;07/11/2025;C0046;P0036;38;15018.87;0.05;9624.01;SUCURSAL;Confirmada
V00166;02/03/2025;C0040;P0019;27;42076.20;0;24035.97;SUCURSAL;Confirmada
V00875;23/07/2023;C0035;P0033;18;160831.13;0;87592.08;Sucursal;Confirmada
V00344;10/05/2025;C0018;P0028;1;135731.68;0.1;83697.81;Online;Confirmada
V00271;05/05/2023;C0010;P0013;24;37803.65;0;26313.27;online;Confirmada
V00314;14/12/2025;C0044;P0001;5;129149.71;0;88805.39;Mayorista;Confirmada
V00604;23/03/2024;C0046;P0040;3;88887.86;0.05;59058.47;online;Confirmada
V00213;26/06/2024;C0007;P0036;10;14762.46;0;9624.01;Mayorista;Confirmada
V01032;02/07/2023;C0057;P0016;15;7605.60;0.15;5355.27;Mayorista;Confirmada
V00851;05/03/2025;C0034;P0018;26;36953.96;0.05;27465.62;Online;Confirmada
V00838;12/02/2024;C0036;P0021;3;54453.19;0;30386.28;SUCURSAL;Confirmada
V00666;19/06/2023;C0013;P0039;28;35737.24;0;20257.15;SUCURSAL;Confirmada
V00563;09/09/2023;C0003;P0038;33;50289.13;0.05;30948.72;Sucursal;Confirmada
V01145;03/11/2025;C0013;P0030;33;145497.38;0.05;79943.46;online;Confirmada
V00204;20/06/2024;C0037;P0001;32;134953.68;0;88805.39;online;Confirmada
V00210;30/08/2023;;P0032;2;63485.60;0;41511.75;online;Confirmada
V01026;11/08/2025;C0011;P0038;13;53012.66;0;30948.72;Sucursal;Confirmada
V00949;08/08/2025;C0029;P0032;11;62893.73;0;41511.75;Online;Confirmada
V00425;16/01/2024;C0047;P0029;32;61492.93;0;35426.88;SUCURSAL;Confirmada
V00190;03/02/2023;C0042;P0010;35;29198.87;0;15802.18;online;Confirmada
V00818;08/06/2023;C0055;P0037;38;29809.75;0;20637.97;Sucursal;Confirmada
V00102;03/06/2025;C0035;P0006;5;146767.45;0;82826.49;Online;Confirmada
V00779;22/10/2025;C0060;P0011;40;70245.17;0;42100.64;online;Confirmada
V00283;02/03/2024;C0038;P0007;23;26168.00;0;18589.68;Online;Confirmada
V00196;09/04/2024;C0042;P0017;30;35450.75;0.15;21329.37;Online;Confirmada
V00612;25/09/2024;C0041;P0038;21;54782.72;0;30948.72;Online;Confirmada
V00669;19/02/2024;C0006;P0006;6;131464.37;0.15;82826.49;Mayorista;Confirmada
V00660;16/09/2024;C0053;P0005;18;138514.12;0;76381.11;Online;Confirmada
V00692;10/10/2025;C0034;P0012;15;94812.17;0.1;62788.01;Online;Confirmada
V01084;06/10/2023;C0059;P0004;31;81775.28;0.05;45750.64;Online;Confirmada
V00198;28/10/2024;C0030;P0008;21;149055.89;0.15;87430.92;Online;Confirmada
V01128;11/11/2025;C0057;P0012;10;87995.97;0;62788.01;Online;Confirmada
V00374;27/06/2023;C0037;P0030;9;146487.25;0;79943.46;SUCURSAL;Confirmada
V00509;21/02/2025;C0022;P0026;40;114022.46;0;75912.18;Sucursal;Confirmada
V01124;31/10/2024;C0034;P0003;25;91682.52;0.15;59237.27;Online;Confirmada
V00734;08/01/2023;C0038;P0016;28;7148.14;0.05;5355.27;Sucursal;Confirmada
V00006;18/02/2025;;P0011;20;78836.71;0.05;42100.64;Mayorista;Confirmada
V00736;18/10/2023;C0023;P0035;40;100091.19;0.15;69092.63;Online;Confirmada
V00423;15/12/2025;C0020;P0025;15;76943.61;0.15;39839.56;Mayorista;Confirmada
V00721;11/08/2024;C0042;P0035;8;95521.68;0.05;69092.63;Sucursal;Confirmada
V00224;01/07/2024;C0049;P0013;39;37037.17;0.15;26313.27;Online;Confirmada
V00857;05/01/2023;C0060;P0035;27;103956.57;0;69092.63;Online;Confirmada
V00176;05/09/2025;C0003;P0020;28;86549.15;0.1;45649.19;online;Confirmada
V00695;07/02/2024;C0052;P0016;29;7536.63;0;5355.27;online;Confirmada
V00924;24/12/2024;C0045;P0014;24;12119.04;0;7133.98;Mayorista;Confirmada
V01082;03/02/2025;C0026;P0038;3;48770.80;0;30948.72;Mayorista;Confirmada
V00984;07/03/2023;C0022;P0010;21;27055.88;0;15802.18;online;Confirmada
V00156;24/09/2024;C0034;P0009;27;39404.67;0;24765.50;SUCURSAL;Confirmada
V00297;25/12/2023;C0047;P0038;6;52129.82;0;30948.72;SUCURSAL;Confirmada
V01109;10/07/2025;C0051;P0013;1;35954.08;0.05;26313.27;SUCURSAL;Confirmada
V00941;01/05/2023;C0013;P0002;17;75623.38;0;45022.51;SUCURSAL;Confirmada
V00477;20/03/2024;C0018;P0014;6;13615.92;0.05;7133.98;SUCURSAL;Confirmada
V01034;28/04/2023;C0046;P0001;18;136088.32;0;88805.39;Online;Confirmada
V00071;02/04/2024;C0032;P0031;26;146527.43;0;85075.28;SUCURSAL;Confirmada
V00791;17/01/2024;C0009;P0034;24;134833.59;0;73820.76;online;Confirmada
V01008;18/11/2025;C0030;P0032;8;64293.31;0;41511.75;Online;Confirmada
V00942;22/10/2025;C0050;P0009;13;39987.19;0.1;24765.50;Online;Confirmada
V00858;07/01/2023;C0056;P0022;4;139124.08;0.05;77007.76;online;Confirmada
V00806;05/06/2023;C0041;P0002;23;78994.98;0.15;45022.51;Online;Confirmada
V01118;22/11/2023;C0034;P0017;24;32650.88;0.15;21329.37;Mayorista;Confirmada
V00538;01/01/2023;C0016;P0008;22;167681.62;0;87430.92;Sucursal;Confirmada
V01035;09/03/2025;C0059;P0028;4;131948.22;0.05;83697.81;Sucursal;Confirmada
V00585;11/10/2025;C0015;P0030;20;147414.27;0;79943.46;online;Confirmada
V01172;02/09/2024;C0010;P0036;21;13613.41;0.15;9624.01;online;Confirmada
V00153;04/12/2024;C0030;P0035;17;92551.28;0.15;69092.63;online;Confirmada
V00045;11/02/2025;C0005;P0040;29;83629.04;0.1;59058.47;online;Confirmada
V00521;10/05/2024;C0013;P0040;18;84649.69;0;59058.47;Sucursal;Confirmada
V00995;14/10/2024;C0002;P0033;5;147291.61;0;87592.08;Mayorista;Confirmada
V01048;03/03/2024;C0020;P0006;29;147329.45;0;82826.49;Mayorista;Confirmada
V00846;05/08/2023;C0014;P0018;11;39762.64;0;27465.62;Sucursal;Confirmada
V00216;09/06/2024;C0043;P0039;;35410.92;0;20257.15;Online;Confirmada
V01103;31/03/2025;C0023;P0030;34;135343.92;0;79943.46;online;Confirmada
V00252;07/07/2023;C0039;P0019;25;41626.76;0.1;24035.97;SUCURSAL;Confirmada
V00760;15/10/2025;C0010;P0011;17;78703.09;0;42100.64;Mayorista;Confirmada
V00562;10/05/2023;C0013;P0037;30;29841.53;0.15;20637.97;Mayorista;Confirmada
V00530;21/12/2024;C0053;P0021;26;54154.92;0;30386.28;online;Confirmada
V00040;05/06/2025;C0060;P0009;9;43843.94;0;24765.50;online;Confirmada
V00205;25/07/2023;C0040;P0014;28;12938.55;0.1;7133.98;online;Confirmada
V00009;04/07/2024;C0030;P0037;32;28804.43;0;20637.97;SUCURSAL;Confirmada
V00220;13/02/2024;C0033;P0014;4;12939.13;0.15;7133.98;SUCURSAL;Confirmada
V00713;21/01/2024;C0024;P0038;9;54902.78;0;30948.72;Mayorista;Confirmada
V00404;18/11/2025;C0022;P0015;14;95727.53;0;52751.77;Sucursal;Confirmada
V01155;07/08/2025;C0043;P0015;9;102995.70;0;52751.77;Mayorista;Confirmada
V00558;11/08/2023;C0003;P0031;3;140433.53;0.15;85075.28;SUCURSAL;Confirmada
V01154;21/05/2025;C0022;P0022;5;130542.37;0;77007.76;online;Confirmada
V00434;02/04/2023;C0027;P0019;8;41931.69;0.1;24035.97;online;Confirmada
V00593;28/03/2023;C0035;P0034;8;131147.95;0;73820.76;SUCURSAL;Confirmada
V01169;02/01/2025;C0032;P0030;19;134691.35;0;79943.46;Mayorista;Confirmada
V00476;20/02/2023;C0001;P0014;13;13827.12;0.15;7133.98;Online;Confirmada
V00810;23/04/2024;C0037;P0010;15;27994.69;0;15802.18;Mayorista;Confirmada
V00194;31/01/2023;C0010;P0015;24;104589.80;0.1;52751.77;Mayorista;Confirmada
V00575;14/10/2024;C0059;P0027;32;125377.39;0;61799.54;SUCURSAL;Confirmada
V00292;18/12/2025;C0028;P0036;19;14714.31;0;9624.01;online;Confirmada
V00594;15/03/2024;C0003;P0020;10;87981.33;0.05;45649.19;Sucursal;Confirmada
V00728;20/11/2024;C0047;P0025;19;76857.74;0.15;39839.56;Mayorista;Confirmada
V00488;07/11/2025;C0014;P0019;11;45007.07;0.05;24035.97;Mayorista;Confirmada
V00069;29/02/2024;;P0032;19;57849.25;0.1;41511.75;Sucursal;Confirmada
V01105;08/02/2025;C0047;P0027;30;120413.32;0;61799.54;Sucursal;Confirmada
V00741;25/06/2025;C0058;P0007;9;25879.46;0;18589.68;Online;Confirmada
V01067;24/02/2025;C0033;P0025;17;70473.13;0.1;39839.56;Mayorista;Confirmada
V00975;18/07/2023;C0054;P0013;35;38088.84;0;26313.27;online;Confirmada
V00417;13/08/2025;C0043;P0034;15;137581.37;0;73820.76;Sucursal;Confirmada
V00982;08/02/2024;C0026;P0017;10;33293.34;0;21329.37;Online;Confirmada
V00398;13/08/2024;C0046;P0011;25;74783.41;0;42100.64;SUCURSAL;Confirmada
V00500;14/10/2025;C0022;P0008;8;164877.76;0;87430.92;Mayorista;Confirmada
V00160;27/05/2023;C0044;P0037;8;28123.92;0;20637.97;Sucursal;Confirmada
V00676;06/12/2024;C0022;P0036;16;13850.55;0;9624.01;Sucursal;Confirmada
V00829;22/10/2024;;P0009;32;44594.70;0.05;24765.50;Mayorista;Confirmada
V00590;12/08/2023;C0023;P0009;7;39398.94;0;24765.50;Online;Confirmada
V00621;27/04/2025;C0005;P0002;2;80774.90;0;45022.51;Mayorista;Confirmada
V00162;25/07/2025;C0050;P0001;9;130040.14;0.05;88805.39;Sucursal;Confirmada
V00671;12/08/2024;C0031;P0014;24;13906.01;0.05;7133.98;Mayorista;Confirmada
V00334;29/10/2023;C0012;P0027;3;127269.39;0.15;61799.54;online;Confirmada
V00642;05/02/2024;C0013;P0033;25;154206.36;0.1;87592.08;Sucursal;Confirmada
V00485;22/09/2023;C0020;P0011;33;77015.42;0.05;42100.64;Sucursal;Confirmada
V00449;21/12/2023;C0030;P0023;30;58414.74;0;40158.54;online;Confirmada
V00928;06/12/2024;C0019;P0032;15;62813.26;0;41511.75;Online;Confirmada
V00956;14/11/2025;C0059;P0008;35;150844.24;0;87430.92;Online;Anulada
V00587;08/11/2024;C0047;P0018;25;37564.65;0;27465.62;Online;Confirmada
V00567;16/07/2023;C0042;P0024;18;78421.04;0.15;54866.45;Mayorista;Confirmada
V01027;15/12/2023;C0056;P0003;17;87859.71;0;59237.27;Mayorista;Confirmada
V00206;30/05/2024;C0054;P0020;28;82229.96;0.05;45649.19;SUCURSAL;Confirmada
V01013;27/09/2025;C0016;P0022;34;128348.11;0.05;77007.76;Sucursal;Confirmada
V01037;09/10/2023;C0010;P0022;27;124225.49;0.05;77007.76;SUCURSAL;Confirmada
V00041;28/09/2023;C0003;P0005;37;131408.62;0;76381.11;Mayorista;Confirmada
V00761;16/11/2023;C0049;P0031;33;133007.18;0.05;85075.28;Mayorista;Confirmada
V00209;01/11/2023;C0057;P0036;31;13958.36;0.05;9624.01;online;Confirmada
V00392;14/03/2024;C0017;P0039;35;34477.37;0.05;20257.15;Online;Confirmada
V00643;22/09/2023;C0048;P0018;;38313.08;0;27465.62;SUCURSAL;Confirmada
V01038;07/01/2023;C0014;P0009;38;38727.88;0;24765.50;online;Confirmada
V00620;18/05/2024;C0010;P0027;27;114622.55;0.1;61799.54;Mayorista;Confirmada
V00403;05/05/2025;C0042;P0040;32;90905.50;0.05;59058.47;Online;Confirmada
V00914;31/01/2025;;P0007;10;30017.20;0;18589.68;SUCURSAL;Confirmada
V01190;24/11/2025;C0024;P0035;18;98880.48;0;69092.63;Online;Confirmada
V00218;11/04/2025;C0036;P0012;21;99125.32;0;62788.01;online;Confirmada
V00977;03/01/2023;C0052;P0038;37;51292.45;0;30948.72;online;Confirmada
V00008;10/07/2024;C0030;P0008;32;163561.21;0.1;87430.92;Mayorista;Confirmada
V01178;24/12/2024;C0060;P0004;40;77699.18;0;45750.64;SUCURSAL;Confirmada
V00083;04/07/2023;C0048;P0011;29;71654.03;0;42100.64;online;Confirmada
V00365;27/10/2025;C0028;P0011;13;70893.87;0.15;42100.64;SUCURSAL;Confirmada
V01028;08/02/2025;C0042;P0018;7;38027.57;0.1;27465.62;Sucursal;Confirmada
V00047;15/03/2025;C0060;P0008;5;161261.27;0.05;87430.92;Mayorista;Confirmada
V00115;12/05/2023;C0024;P0038;39;50160.05;0.1;30948.72;SUCURSAL;Confirmada
V00504;29/06/2025;C0055;P0009;1;39057.29;0;24765.50;online;Confirmada
V00055;06/11/2024;C0057;P0019;25;40268.29;0.1;24035.97;Sucursal;Confirmada
V01049;26/10/2023;C0043;P0004;21;82614.22;0;45750.64;online;Confirmada
V00632;29/11/2025;C0045;P0033;38;162845.59;0;87592.08;Online;Confirmada
V00677;15/04/2024;C0021;P0008;29;152908.79;0;87430.92;Sucursal;Confirmada
V00577;25/12/2024;C0044;P0022;15;124657.71;0.1;77007.76;Online;Confirmada
V00494;17/02/2024;C0005;P0001;33;135987.17;0.1;88805.39;Sucursal;Confirmada
V00012;14/07/2025;C0014;P0003;34;87735.33;0.15;59237.27;Online;Confirmada
V00306;26/08/2024;C0009;P0038;18;53312.00;0;30948.72;online;Confirmada
V00013;04/09/2025;C0005;P0011;10;69172.30;0.05;42100.64;Mayorista;Confirmada
V00200;25/03/2023;C0042;P0004;24;82779.76;0;45750.64;Sucursal;Confirmada
V00717;08/06/2025;C0012;P0036;21;15216.50;0;9624.01;Online;Confirmada
V00265;18/01/2025;C0011;P0015;26;107786.17;0;52751.77;SUCURSAL;Confirmada
V00802;19/10/2025;;P0020;19;85852.95;0.05;45649.19;online;Confirmada
V01150;14/01/2024;C0013;P0016;25;7288.00;0;5355.27;online;Confirmada
V01076;30/11/2023;C0053;P0038;34;54587.02;0;30948.72;Online;Confirmada
V00229;23/09/2023;C0031;P0021;8;52068.50;0;30386.28;Mayorista;Confirmada
V00302;14/11/2025;C0036;P0032;14;66449.59;0;41511.75;Online;Confirmada
V00899;24/11/2024;C0007;P0012;2;91937.94;0;62788.01;Sucursal;Confirmada
V00957;10/06/2023;C0004;P0030;14;134795.11;0;79943.46;Sucursal;Confirmada
V00355;30/08/2025;C0003;P0003;37;94019.21;0.1;59237.27;Mayorista;Confirmada
V01101;14/10/2023;C0054;P0002;23;76757.07;0.05;45022.51;SUCURSAL;Confirmada
V01141;11/07/2023;C0027;P0002;5;84049.11;0;45022.51;SUCURSAL;Confirmada
V00807;06/09/2025;C0047;P0007;8;29613.37;0.05;18589.68;online;Confirmada
V00758;11/11/2023;C0051;P0028;34;130849.43;0.05;83697.81;Online;Confirmada
V00821;25/12/2023;C0010;P0025;28;76907.03;0.1;39839.56;SUCURSAL;Confirmada
V00686;16/12/2024;C0051;P0022;10;136134.23;0.05;77007.76;Mayorista;Confirmada
V00789;13/09/2024;C0019;P0014;32;14082.86;0;7133.98;online;Confirmada
V01163;28/05/2023;C0013;P0019;3;45547.24;0;24035.97;SUCURSAL;Confirmada
V00340;30/09/2024;C0049;P0013;5;39880.89;0.15;26313.27;online;Confirmada
V00885;21/05/2024;C0006;P0010;21;28629.54;0;15802.18;SUCURSAL;Confirmada
V00017;18/11/2025;C0038;P0006;9;129271.57;0.15;82826.49;online;Anulada
V00448;28/11/2023;C0034;P0002;35;83409.00;0.15;45022.51;Mayorista;Confirmada
V00628;24/01/2025;C0051;P0007;4;25661.27;0;18589.68;Mayorista;Confirmada
V00199;02/11/2025;C0024;P0001;36;136430.86;0;88805.39;Mayorista;Confirmada
V01102;09/05/2024;C0040;P0008;20;167510.55;0;87430.92;SUCURSAL;Confirmada
V00910;28/04/2023;C0033;P0034;5;133373.73;0;73820.76;SUCURSAL;Confirmada
V01149;17/10/2024;C0037;P0003;23;98176.33;0.1;59237.27;Mayorista;Confirmada
V00390;28/11/2025;C0055;P0002;39;78854.19;0;45022.51;Mayorista;Confirmada
V00569;22/09/2025;C0044;P0029;19;63265.78;0;35426.88;Online;Confirmada
V00715;22/08/2023;C0034;P0035;38;106946.62;0;69092.63;SUCURSAL;Confirmada
V01152;23/05/2025;C0044;P0006;8;146516.94;0;82826.49;Sucursal;Confirmada
V01085;18/05/2024;C0019;P0032;18;61774.13;0.15;41511.75;Mayorista;Confirmada
V00513;28/11/2023;C0060;P0007;39;25980.27;0;18589.68;Online;Confirmada
V01003;18/05/2025;C0054;P0037;29;27433.38;0.05;20637.97;Online;Confirmada
V01111;06/07/2025;C0001;P0001;4;134575.79;0.15;88805.39;Sucursal;Confirmada
V00826;04/11/2024;C0026;P0006;31;140757.68;0;82826.49;SUCURSAL;Confirmada
